chunk_id,chunk_type,source_id,category,culture_region,norm_type,scenario_pattern,condition_family,norm_statement,orientation,latent_variables,acceptable_if,not_acceptable_if,context_dependent_if,cultures_compared,source_ids,retrieval_text
PROFILE_SOUTH_KOREA,country_profile,,,South Korea,,,,,"image management, privacy, politeness, and sensitivity to social evaluation",public image; privacy; consent; social evaluation; relationship closeness,,,,,,"Country/cultural context profile: South Korea. General orientation: image management, privacy, politeness, and sensitivity to social evaluation. Common domains in this corpus: privacy. Relevant social variables: public image, privacy, consent, social evaluation, relationship closeness. Ambiguity triggers: whether consent was given, whether the action affects public image, how visible the behavior is. Observed norm types: image, image-conscious."
PROFILE_SOUTHERN_US,country_profile,,,Southern US,,,,,"public friendliness, casual warmth, and politeness toward strangers",tone; neighborliness; public setting; intrusiveness,,,,,,"Country/cultural context profile: Southern US. General orientation: public friendliness, casual warmth, and politeness toward strangers. Common domains in this corpus: social etiquette. Relevant social variables: tone, neighborliness, public setting, intrusiveness. Ambiguity triggers: whether friendliness becomes intrusive, whether the other person reciprocates. Observed norm types: friendliness."
PROFILE_THAILAND,country_profile,,,Thailand,,,,,"face-saving, indirectness, calm interaction, and avoiding public embarrassment",face-saving; tone; public embarrassment; indirect communication; status,,,,,,"Country/cultural context profile: Thailand. General orientation: face-saving, indirectness, calm interaction, and avoiding public embarrassment. Common domains in this corpus: care harm, relationship, workplace. Relevant social variables: face-saving, tone, public embarrassment, indirect communication, status. Ambiguity triggers: whether criticism is public, whether alternatives preserve dignity, how direct the wording is. Observed norm types: face-saving."
PROFILE_UK,country_profile,,,UK,,,,,"politeness, restraint, dry humor, and practical concern for others",tone; humor; politeness; harm risk; relationship,,,,,,"Country/cultural context profile: UK. General orientation: politeness, restraint, dry humor, and practical concern for others. Common domains in this corpus: care harm. Relevant social variables: tone, humor, politeness, harm risk, relationship. Ambiguity triggers: whether humor is understood, whether someone is harmed, whether intervention is needed. Observed norm types: humor."
PROFILE_US,country_profile,,,US,,,,,"individual autonomy, privacy, direct but respectful communication, and personal boundaries",consent; personal autonomy; privacy; relationship closeness; workplace informality,,,,,,"Country/cultural context profile: US. General orientation: individual autonomy, privacy, direct but respectful communication, and personal boundaries. Common domains in this corpus: authority, care harm, commitment, communication, fairness, family, friendship, morality fairness, morality loyalty, privacy, relationship, social etiquette, workplace. Relevant social variables: consent, personal autonomy, privacy, relationship closeness, workplace informality. Ambiguity triggers: whether consent was given, whether the relationship is close, whether the setting is professional or personal. Observed norm types: accountability, adult independence, attention, autonomy, autonomy-and-honesty, body-privacy, boundary, casual, commitment, communication, confidence, consent, consent-and-respect, constructive-feedback, contract, conversational-respect, coordination, digital-privacy, discussion, emotional-awareness, emotional-expression, fairness, financial-independence, flexibility, gratitude, individual-expression, informal-workplace, informality, personal-boundary, politeness, privacy, reciprocity, reciprocity-boundary, relationship-privacy, reliability, respect, situational-help, support, work-life-separation, workplace-privacy."
PROFILE_US_URBAN,country_profile,,,US urban,,,,,"privacy, personal space, and low obligation toward strangers in dense public settings",personal space; stranger interaction; safety; public setting,,,,,,"Country/cultural context profile: US urban. General orientation: privacy, personal space, and low obligation toward strangers in dense public settings. Common domains in this corpus: social etiquette. Relevant social variables: personal space, stranger interaction, safety, public setting. Ambiguity triggers: whether interaction was invited, whether the person appears unsafe or uncomfortable. Observed norm types: privacy."
NORM_SAC001,country_norm,SAC001,family,US,adult independence,not informing parents about a major life decision,family,Adult autonomy and privacy are commonly respected; informing parents is kind but not always expected.,,actor; family member; age/status difference; decision importance; family involvement; public/private setting; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation",age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Adult Independence. Scenario pattern: not informing parents about a major life decision. Category: family. Culture-specific norm statement: Adult autonomy and privacy are commonly respected; informing parents is kind but not always expected. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation. Context-dependent if: age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC002,country_norm,SAC002,family,China,family-involvement,not informing parents about a major life decision,family,"Major life decisions are often shared with family, but expectations vary by age, distance, and family relationship.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; family duty; status hierarchy; face-saving; reciprocity; public image; missing details; culture-specific expectation,"the behavior respects or accommodates China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged","the behavior conflicts with China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation",age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; age and role of each person; whether the issue affects family reputation; whether disagreement is public,,,"Country/cultural context: China. Norm domain: Family Involvement. Scenario pattern: not informing parents about a major life decision. Category: family. Culture-specific norm statement: Major life decisions are often shared with family, but expectations vary by age, distance, and family relationship. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, family duty, status hierarchy, face-saving, reciprocity, public image, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged. Not acceptable if: the behavior conflicts with China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation. Context-dependent if: age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; age and role of each person; whether the issue affects family reputation; whether disagreement is public."
NORM_SAC003,country_norm,SAC003,family,US,personal-boundary,skipping a family gathering for alone time,family,"Personal time and emotional boundaries are generally accepted, especially if communicated respectfully.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the actor sets a boundary without insulting or abandoning the other person; the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation",age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether the boundary was communicated respectfully is unknown,,,"Country/cultural context: US. Norm domain: Personal Boundary. Scenario pattern: skipping a family gathering for alone time. Category: family. Culture-specific norm statement: Personal time and emotional boundaries are generally accepted, especially if communicated respectfully. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the actor sets a boundary without insulting or abandoning the other person; the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation. Context-dependent if: age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether the boundary was communicated respectfully is unknown."
NORM_SAC004,country_norm,SAC004,family,Italy,family-gathering,skipping a family gathering for alone time,family,"Family gatherings can be socially important, but acceptability depends on frequency, explanation, and relationship closeness.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; family closeness; frequency; tone; relationship closeness; social expectation; missing details; culture-specific expectation,"the behavior respects or accommodates Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged","the behavior conflicts with Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation",age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether absence is explained; whether discussion is affectionate or hostile; how often it occurs,,,"Country/cultural context: Italy. Norm domain: Family Gathering. Scenario pattern: skipping a family gathering for alone time. Category: family. Culture-specific norm statement: Family gatherings can be socially important, but acceptability depends on frequency, explanation, and relationship closeness. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, family closeness, frequency, tone, relationship closeness, social expectation, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged. Not acceptable if: the behavior conflicts with Italy expectations around family connection, expressive discussion, social warmth, and workplace or family presence; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation. Context-dependent if: age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether absence is explained; whether discussion is affectionate or hostile; how often it occurs."
NORM_SAC005,country_norm,SAC005,family,US,financial-independence,declining financial help to a sibling,reciprocity,"Individual financial responsibility is emphasized, but emergencies or close family obligations may change expectations.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; resources are limited or expectations were not established; the actor communicates constraints; the exchange is voluntary","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor exploits generosity; the actor ignores a clear obligation; the relationship depends on mutual support",prior favors are unknown; resources are unknown; relationship closeness is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Financial Independence. Scenario pattern: declining financial help to a sibling. Category: family. Culture-specific norm statement: Individual financial responsibility is emphasized, but emergencies or close family obligations may change expectations. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; resources are limited or expectations were not established; the actor communicates constraints; the exchange is voluntary. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor exploits generosity; the actor ignores a clear obligation; the relationship depends on mutual support. Context-dependent if: prior favors are unknown; resources are unknown; relationship closeness is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC006,country_norm,SAC006,family,India,extended-family,declining financial help to a sibling,reciprocity,"Family support may be expected, but obligation depends on resources, relationship, and circumstances.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; family obligation; community relationship; elder/status respect; resources; public reputation; missing details; culture-specific expectation,"the behavior respects or accommodates India expectations around family and community ties, social obligation, respect, and relational continuity; resources are limited or expectations were not established; the actor communicates constraints; the exchange is voluntary","the behavior conflicts with India expectations around family and community ties, social obligation, respect, and relational continuity; the actor exploits generosity; the actor ignores a clear obligation; the relationship depends on mutual support",prior favors are unknown; resources are unknown; relationship closeness is unclear; relationship closeness; available resources; whether refusal is respectful; community expectations,,,"Country/cultural context: India. Norm domain: Extended Family. Scenario pattern: declining financial help to a sibling. Category: family. Culture-specific norm statement: Family support may be expected, but obligation depends on resources, relationship, and circumstances. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, family obligation, community relationship, elder/status respect, resources, public reputation, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates India expectations around family and community ties, social obligation, respect, and relational continuity; resources are limited or expectations were not established; the actor communicates constraints; the exchange is voluntary. Not acceptable if: the behavior conflicts with India expectations around family and community ties, social obligation, respect, and relational continuity; the actor exploits generosity; the actor ignores a clear obligation; the relationship depends on mutual support. Context-dependent if: prior favors are unknown; resources are unknown; relationship closeness is unclear; relationship closeness; available resources; whether refusal is respectful; community expectations."
NORM_SAC007,country_norm,SAC007,family,Korea,elder-respect,criticizing parents in public,face,Public criticism of parents can be seen as disrespectful because elder respect and family reputation are important.,,actor; family member; age/status difference; decision importance; family involvement; public/private setting; age; status; politeness level; responsiveness; public image; missing details; culture-specific expectation,"the behavior respects or accommodates Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction","the behavior conflicts with Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation",tone is unclear; the audience is unclear; the seriousness of the issue is unclear; relative age/status; whether criticism is public; whether delay signals disrespect,,,"Country/cultural context: Korea. Norm domain: Elder Respect. Scenario pattern: criticizing parents in public. Category: family. Culture-specific norm statement: Public criticism of parents can be seen as disrespectful because elder respect and family reputation are important. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, age, status, politeness level, responsiveness, public image, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction. Not acceptable if: the behavior conflicts with Korea expectations around age/status hierarchy, politeness, responsiveness, and maintaining respectful relationships; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation. Context-dependent if: tone is unclear; the audience is unclear; the seriousness of the issue is unclear; relative age/status; whether criticism is public; whether delay signals disrespect."
NORM_SAC008,country_norm,SAC008,family,US,individual-expression,criticizing parents in public,face,"Open disagreement is allowed, but public criticism may still be viewed as hurtful depending on tone.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation",tone is unclear; the audience is unclear; the seriousness of the issue is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal,,,"Country/cultural context: US. Norm domain: Individual Expression. Scenario pattern: criticizing parents in public. Category: family. Culture-specific norm statement: Open disagreement is allowed, but public criticism may still be viewed as hurtful depending on tone. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; criticism is private, indirect, and gives the person a way to save face; the issue is serious enough to require correction. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person is embarrassed in public; criticism is blunt or shaming; the action threatens family, group, or professional reputation. Context-dependent if: tone is unclear; the audience is unclear; the seriousness of the issue is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal."
NORM_SAC009,country_norm,SAC009,family,US,personal-boundary,setting boundaries around family marriage advice,family,Directly setting boundaries around personal life decisions is generally acceptable when done respectfully.,,actor; family member; age/status difference; decision importance; family involvement; public/private setting; consent; personal autonomy; privacy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the actor sets a boundary without insulting or abandoning the other person; the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged","the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation",age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether the boundary was communicated respectfully is unknown,,,"Country/cultural context: US. Norm domain: Personal Boundary. Scenario pattern: setting boundaries around family marriage advice. Category: family. Culture-specific norm statement: Directly setting boundaries around personal life decisions is generally acceptable when done respectfully. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, consent, personal autonomy, privacy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the actor sets a boundary without insulting or abandoning the other person; the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged. Not acceptable if: the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation. Context-dependent if: age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether the boundary was communicated respectfully is unknown."
NORM_SAC010,country_norm,SAC010,family,China,family-advice,setting boundaries around family marriage advice,family,"Marriage advice from relatives may be common, but younger adults may still set boundaries depending on tone and relationship.",,actor; family member; age/status difference; decision importance; family involvement; public/private setting; family duty; status hierarchy; face-saving; reciprocity; public image; missing details; culture-specific expectation,"the behavior respects or accommodates China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged","the behavior conflicts with China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation",age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; age and role of each person; whether the issue affects family reputation; whether disagreement is public,,,"Country/cultural context: China. Norm domain: Family Advice. Scenario pattern: setting boundaries around family marriage advice. Category: family. Culture-specific norm statement: Marriage advice from relatives may be common, but younger adults may still set boundaries depending on tone and relationship. Relevant latent variables: actor, family member, age/status difference, decision importance, family involvement, public/private setting, family duty, status hierarchy, face-saving, reciprocity, public image, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the actor is an adult making a personal decision; boundaries are communicated respectfully; family expectations are acknowledged. Not acceptable if: the behavior conflicts with China expectations around family involvement, role obligations, hierarchy, reciprocity, and preserving face; the action publicly disrespects elders or close family; the decision imposes serious costs on family without explanation. Context-dependent if: age/dependence is unknown; family closeness is unknown; the importance of the decision is unclear; age and role of each person; whether the issue affects family reputation; whether disagreement is public."
NORM_SAC011,country_norm,SAC011,relationship,US,workplace-privacy,asking a coworker personal relationship questions,privacy,Relationship status is usually considered private in professional settings.,,actor; partner/friend; trust; privacy; consent; public/private setting; relationship stage; personal autonomy; relationship closeness; workplace informality; missing details; culture-specific expectation,"the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested","the action exposes or accesses personal information without consent; the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers",relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether consent was explicit or implied is unknown,,,"Country/cultural context: US. Norm domain: Workplace Privacy. Scenario pattern: asking a coworker personal relationship questions. Category: relationship. Culture-specific norm statement: Relationship status is usually considered private in professional settings. Relevant latent variables: actor, partner/friend, trust, privacy, consent, public/private setting, relationship stage, personal autonomy, relationship closeness, workplace informality, missing details, culture-specific expectation. Acceptable if: the behavior respects or accommodates US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; the person has clearly consented; the topic is raised privately; the relationship is close enough for the information requested. Not acceptable if: the action exposes or accesses personal information without consent; the behavior conflicts with US expectations around individual autonomy, privacy, direct but respectful communication, and personal boundaries; private information is exposed publicly; the target has not consented; the setting is professional or with strangers. Context-dependent if: relationship closeness is unclear; the audience is unclear; prior consent or comfort is unknown; whether consent was given; whether the relationship is close; whether the setting is professional or personal; whether consent was explicit or implied is unknown."
