chunk_id,source_id,category,culture_region,norm_type,title,norm_statement,latent_variables,acceptable_when,unacceptable_when,ambiguity_factors,keywords,retrieval_text
RAG_SAC012,SAC012,relationship,India,marriage-salience,India: Marriage Salience,"Marriage may be commonly discussed socially, but asking in a workplace can still be intrusive.",actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",asking; dating; discussed; family introduction; india; intrusive; jealousy; marriage; marriage salience; norm; partner; privacy; relationship; socially; still; trust; workplace,"Culture or social context: India. Norm domain: Marriage Salience. Situation category: relationship. Norm: Marriage may be commonly discussed socially, but asking in a workplace can still be intrusive. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC013,SAC013,relationship,US,privacy,US: Privacy,"Acceptability depends on closeness, consent, and whether the person is comfortable discussing it publicly.",actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",closeness; comfortable; consent; dating; discussing; family introduction; jealousy; norm; partner; person; privacy; publicly; relationship; trust; us; whether,"Culture or social context: US. Norm domain: Privacy. Situation category: relationship. Norm: Acceptability depends on closeness, consent, and whether the person is comfortable discussing it publicly. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC014,SAC014,relationship,Japan,privacy-and-harmony,Japan: Privacy And Harmony,Publicly raising private topics may embarrass the person and disturb social harmony.,actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",dating; disturb; embarrass; family introduction; harmony; japan; jealousy; norm; partner; person; privacy; privacy and harmony; private; publicly; raising; relationship; social; topics,"Culture or social context: Japan. Norm domain: Privacy And Harmony. Situation category: relationship. Norm: Publicly raising private topics may embarrass the person and disturb social harmony. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC015,SAC015,relationship,US,relationship-privacy,US: Relationship Privacy,Privacy and consent are important in relationships; suspicion does not usually justify checking someone’s phone.,actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",checking; consent; dating; does; family introduction; jealousy; justify; norm; partner; phone; privacy; relationship; relationship privacy; relationships; someone; suspicion; trust; us,"Culture or social context: US. Norm domain: Relationship Privacy. Situation category: relationship. Norm: Privacy and consent are important in relationships; suspicion does not usually justify checking someone’s phone. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC016,SAC016,relationship,Brazil,relationship-trust,Brazil: Relationship Trust,Trust and privacy are still important; jealousy may be understood emotionally but does not make the action acceptable.,actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",action; brazil; dating; does; emotionally; family introduction; jealousy; make; norm; partner; privacy; relationship; relationship trust; still; trust; understood,"Culture or social context: Brazil. Norm domain: Relationship Trust. Situation category: relationship. Norm: Trust and privacy are still important; jealousy may be understood emotionally but does not make the action acceptable. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC017,SAC017,relationship,Germany,direct-communication,Germany: Direct Communication,"Direct feedback may be acceptable, but kindness and relationship context still matter.",actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",context; dating; direct; direct communication; family introduction; feedback; germany; jealousy; kindness; matter; norm; partner; privacy; relationship; still; trust,"Culture or social context: Germany. Norm domain: Direct Communication. Situation category: relationship. Norm: Direct feedback may be acceptable, but kindness and relationship context still matter. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC018,SAC018,relationship,Thailand,face-saving,Thailand: Face Saving,Direct negative comments may embarrass the person; softer indirect feedback is preferred.,actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",comments; dating; direct; embarrass; face saving; family introduction; feedback; indirect; jealousy; negative; norm; partner; person; preferred; privacy; relationship; softer; thailand,"Culture or social context: Thailand. Norm domain: Face Saving. Situation category: relationship. Norm: Direct negative comments may embarrass the person; softer indirect feedback is preferred. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC019,SAC019,relationship,US,autonomy,US: Autonomy,Relationship pacing is often treated as an individual choice.,actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",autonomy; choice; dating; family introduction; individual; jealousy; norm; often; pacing; partner; privacy; relationship; treated; trust; us,"Culture or social context: US. Norm domain: Autonomy. Situation category: relationship. Norm: Relationship pacing is often treated as an individual choice. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC020,SAC020,relationship,China,family-introduction,China: Family Introduction,"Meeting family may signal seriousness, but timing expectations vary across families and regions.",actor; partner/friend; privacy; trust; consent; public/private setting; closeness,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",across; china; dating; expectations; families; family; family introduction; jealousy; meeting; norm; partner; privacy; regions; relationship; seriousness; signal; timing; trust,"Culture or social context: China. Norm domain: Family Introduction. Situation category: relationship. Norm: Meeting family may signal seriousness, but timing expectations vary across families and regions. Relevant latent variables: actor, partner/friend, privacy, trust, consent, public/private setting, closeness. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
RAG_SAC021,SAC021,workplace,US,informal-workplace,US: Informal Workplace,Many workplaces use first names to signal approachability and flat hierarchy.,employee; coworker/manager; hierarchy; professional role; public/private setting; policy expectations,"The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation.","The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target.","Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated.",approachability; boss; coworker; feedback; first; flat; hierarchy; informal workplace; manager; many; names; norm; overtime; signal; us; workplace; workplaces,"Culture or social context: US. Norm domain: Informal Workplace. Situation category: workplace. Norm: Many workplaces use first names to signal approachability and flat hierarchy. Relevant latent variables: employee, coworker/manager, hierarchy, professional role, public/private setting, policy expectations. Acceptable when: The action is more likely to be acceptable when it respects the relevant relationship, minimizes embarrassment or harm, follows local expectations, and is communicated with appropriate consent or explanation. Unacceptable when: The action is more likely to be unacceptable when it violates privacy, respect, hierarchy, reciprocity, commitment, or care expectations, especially in public or with a vulnerable/lower-power target. Ambiguity factors: Key ambiguity factors include relationship closeness, tone, consent, public vs private setting, relative status, and whether the action is routine, invited, necessary, or repeated."
